_id,spending_behavior,processing_timestamp,applicant_info.full_name,applicant_info.email,applicant_info.ssn,applicant_info.ip_address,applicant_info.gender,applicant_info.date_of_birth,applicant_info.zip_code,financials.annual_income,financials.credit_history_months,financials.debt_to_income,financials.savings_balance,decision.loan_approved,decision.rejection_reason,loan_purpose,decision.interest_rate,decision.approved_amount,financials.annual_salary,notes
app_232,"[{'category': 'Transportation', 'amount': 53}, {'category': 'Entertainment', 'amount': 185}, {'category': 'Travel', 'amount': 588}]",,Susan Williams,susan.williams56@protonmail.com,990-44-6079,192.168.82.109,Female,1985-03-04,90218,129000,60,0.1,31187,True,,personal,2.8,48000.0,,
app_233,"[{'category': 'Transportation', 'amount': 363}]",,Dorothy Nelson,dorothy.nelson99@mail.com,501-89-7625,172.30.238.65,F,1991-04-23,90232,70000,64,0.19,21220,True,,wedding,4.4,42000.0,,
app_235,"[{'category': 'Travel', 'amount': 886}]",,Donald Hill,donald.hill14@gmail.com,739-31-6047,192.168.244.146,Male,1997/08/31,10012,22000,16,0.28,12134,True,,medical,5.4,39000.0,,
app_236,"[{'category': 'Healthcare', 'amount': 726}, {'category': 'Travel', 'amount': 574}]",,Amy Torres,amy.torres56@yahoo.com,760-35-4986,10.4.65.185,Female,2002-04-24,90296,62000,4,0.25,25550,True,,education,6.2,23000.0,,
app_241,"[{'category': 'Utilities', 'amount': 485}, {'category': 'Groceries', 'amount': 503}, {'category': 'Shopping', 'amount': 89}]",,Helen Anderson,helen.anderson61@mail.com,852-81-4532,192.168.33.162,Female,1964-07-10,90230,96000,103,0.44,31709,True,,personal,5.8,18000.0,,
app_244,"[{'category': 'Travel', 'amount': 500}]",,David Nguyen,david.nguyen10@gmail.com,821-96-5629,172.23.242.225,Male,17/03/1996,10074,79000,56,0.08,17047,True,,education,3.2,26000.0,,
app_213,"[{'category': 'Education', 'amount': 522}]",,Matthew Sanchez,matthew.sanchez19@gmail.com,159-79-2670,172.22.75.182,Male,1999-09-23,10071,54000,31,0.13,17081,True,,wedding,5.1,56000.0,,
app_214,"[{'category': 'Utilities', 'amount': 786}]",,Christine Miller,christine.miller65@mail.com,929-57-7649,172.17.208.126,Female,1962-08-26,90277,116000,84,0.31,41962,True,,debt_consolidation,4.1,57000.0,,
app_249,"[{'category': 'Shopping', 'amount': 214}, {'category': 'Insurance', 'amount': 659}]",,Joshua Garcia,joshua.garcia70@icloud.com,121-85-2187,10.40.52.159,Male,1958-11-20,30043,121000,82,0.08,44322,True,,home_improvement,4.7,73000.0,,
app_250,"[{'category': 'Travel', 'amount': 430}]",,Mark Walker,mark.walker39@protonmail.com,165-64-6386,172.19.52.123,Male,04/25/1997,10048,68000,37,0.06,48618,True,,debt_consolidation,5.6,33000.0,,
app_229,"[{'category': 'Education', 'amount': 686}, {'category': 'Groceries', 'amount': 359}]",,Barbara Campbell,barbara.campbell80@yahoo.com,731-96-9697,172.23.22.89,Female,2000-07-31,90289,39000,41,0.42,18019,True,,wedding,4.1,38000.0,,
app_230,"[{'category': 'Education', 'amount': 867}]",,Cynthia Flores,cynthia.flores14@outlook.com,726-19-5382,10.145.124.45,Female,1963-05-21,90291,63000,133,0.19,14427,True,,medical,5.3,71000.0,,
app_245,"[{'category': 'Travel', 'amount': 162}, {'category': 'Entertainment', 'amount': 476}]",,Jason Hernandez,jason.hernandez70@yahoo.com,352-47-5158,192.168.154.147,M,06/25/1994,10038,97000,30,0.26,26829,True,,debt_consolidation,4.0,44000.0,,
app_246,"[{'category': 'Healthcare', 'amount': 478}]",,Susan Rivera,susan.rivera74@gmail.com,176-97-1864,192.168.158.59,F,1991-10-11,90223,82000,31,0.29,21809,True,,auto,2.8,38000.0,,
app_022,"[{'category': 'Travel', 'amount': 61}, {'category': 'Utilities', 'amount': 176}]",,James Allen,james.allen60@protonmail.com,429-40-8330,192.168.34.174,Male,1972-05-15,10081,99000,94,0.09,43381,True,,,2.9,35000.0,,
app_024,"[{'category': 'Fitness', 'amount': 575}]",,Thomas Lee,thomas.lee6@protonmail.com,194-35-1833,192.168.175.67,Male,1983-04-25,10077,103000,70,0.35,0,True,,,4.3,34000.0,,
app_057,"[{'category': 'Education', 'amount': 320}, {'category': 'Healthcare', 'amount': 488}]",,Betty Smith,betty.smith71@yahoo.com,848-93-7847,10.30.94.229,Female,1990/11/08,90255,70000,42,0.15,38800,True,,,2.5,55000.0,,
app_058,"[{'category': 'Utilities', 'amount': 504}]",,James King,james.king83@icloud.com,449-13-7773,192.168.193.101,Male,03/16/1970,10067,83000,114,0.35,50490,True,,,2.8,61000.0,,
app_060,"[{'category': 'Utilities', 'amount': 141}, {'category': 'Healthcare', 'amount': 317}, {'category': 'Transportation', 'amount': 315}]",,Jacob Nguyen,jacob.nguyen66@hotmail.com,736-38-8515,192.168.170.43,Male,1998-03-25,10042,25000,11,0.07,12900,True,,,3.8,52000.0,,
app_061,"[{'category': 'Travel', 'amount': 208}, {'category': 'Shopping', 'amount': 650}]",,Jack Miller,jack.miller8@mail.com,127-48-3577,192.168.189.169,M,20/04/1985,10073,59000,54,0.27,27425,True,,,4.0,28000.0,,
app_062,"[{'category': 'Shopping', 'amount': 146}, {'category': 'Entertainment', 'amount': 329}, {'category': 'Groceries', 'amount': 885}]",,Catherine Carter,catherine.carter77@icloud.com,614-69-8974,10.97.126.194,Female,1979-03-13,90275,64000,109,0.39,34015,True,,,3.1,16000.0,,
app_063,"[{'category': 'Shopping', 'amount': 833}, {'category': 'Healthcare', 'amount': 404}]",,Nicole Adams,nicole.adams28@gmail.com,252-62-4568,172.31.2.111,Female,1997-04-03,90243,55000,45,0.1,14715,True,,,4.0,57000.0,,
app_067,"[{'category': 'Utilities', 'amount': 186}]",,Scott Wilson,scott.wilson54@gmail.com,760-63-1612,192.168.141.24,Male,1997-05-07,10031,39000,36,0.37,10486,True,,,4.3,56000.0,,
app_068,"[{'category': 'Healthcare', 'amount': 577}, {'category': 'Utilities', 'amount': 188}]",,Emily Lopez,john.doe@invalid,641-36-7605,172.19.231.218,Female,1993-09-05,90282,75000,30,0.31,40791,True,,,4.9,20000.0,,
app_038,"[{'category': 'Healthcare', 'amount': 201}]",,Patrick Nguyen,patrick.nguyen53@gmail.com,596-76-2147,192.168.233.224,Male,1979-04-06,10012,125000,27,0.14,19147,True,,,5.5,35000.0,,
app_439,"[{'category': 'Shopping', 'amount': 685}, {'category': 'Fitness', 'amount': 97}, {'category': 'Dining', 'amount': 838}]",,Benjamin Jackson,benjamin.jackson34@gmail.com,807-60-7784,192.168.98.253,Male,1976-04-19,10019,87000,72,0.12,50675,True,,,4.2,61000.0,,
app_440,"[{'category': 'Utilities', 'amount': 562}]",,Frank Young,frank.young21@mail.com,979-12-4442,172.20.230.209,Male,1990-01-01,10009,74000,80,0.28,25925,True,,,5.3,73000.0,,
app_441,"[{'category': 'Fitness', 'amount': 894}]",,Katherine King,katherine.king17@outlook.com,568-34-9570,192.168.25.187,Female,1986-12-05,90268,110000,20,0.12,23593,True,,,2.6,74000.0,,
app_443,"[{'category': 'Education', 'amount': 239}, {'category': 'Insurance', 'amount': 177}, {'category': 'Groceries', 'amount': 806}]",,Scott Gonzalez,scott.gonzalez70@hotmail.com,440-21-5768,172.31.192.181,M,1975-11-23,10040,101000,67,0.43,27879,True,,,5.5,31000.0,,
app_444,"[{'category': 'Shopping', 'amount': 303}, {'category': 'Insurance', 'amount': 509}, {'category': 'Dining', 'amount': 291}]",,Brandon Brown,brandon.brown2@hotmail.com,761-72-9912,10.4.242.163,Male,1981/10/28,10077,91000,56,0.23,28670,True,,,5.5,59000.0,,
app_445,"[{'category': 'Entertainment', 'amount': 862}]",,Sarah Adams,sarah.adams85@hotmail.com,325-39-8274,192.168.193.100,Female,1958-09-21,90219,86000,71,0.14,17179,True,,,3.1,79000.0,,
app_446,"[{'category': 'Travel', 'amount': 650}, {'category': 'Transportation', 'amount': 899}]",,Ronald King,ronald.king78@protonmail.com,352-74-8563,192.168.40.222,Male,16/04/1998,10015,73000,19,0.31,47962,True,,,3.4,20000.0,,
app_447,"[{'category': 'Groceries', 'amount': 139}]",,Jerry Nguyen,jerry.nguyen71@aol.com,799-19-9143,172.23.251.177,Male,1964/02/22,10071,77000,48,0.19,28600,True,,,6.2,22000.0,,
app_448,"[{'category': 'Entertainment', 'amount': 83}]",,Susan Flores,susan.flores60@mail.com,383-48-9078,172.26.210.172,Female,1983-12-17,90221,57000,22,0.23,12120,True,,,6.4,47000.0,,
app_449,"[{'category': 'Insurance', 'amount': 498}]",,Lisa Roberts,lisa.roberts99@outlook.com,833-71-7935,172.23.144.234,Female,1968-11-09,90234,,86,0.07,27467,True,,,5.7,54000.0,75000.0,
app_451,"[{'category': 'Transportation', 'amount': 733}]",,Gary Gonzalez,gary.gonzalez21@icloud.com,237-86-8164,192.168.184.20,Male,1981-07-13,10020,101000,49,0.12,24958,True,,,3.1,40000.0,,
app_421,"[{'category': 'Utilities', 'amount': 563}, {'category': 'Dining', 'amount': 861}]",,Donald Baker,donald.baker60@icloud.com,344-50-4287,192.168.147.249,Male,1982-07-17,10027,,44,0.06,5018,True,,,6.0,45000.0,46000.0,
app_073,"[{'category': 'Transportation', 'amount': 518}, {'category': 'Education', 'amount': 511}]",,Susan Flores,susan.flores83@gmail.com,470-84-5617,10.4.117.75,Female,1985/02/02,90252,97000,60,0.08,30412,True,,,4.8,51000.0,,
app_080,"[{'category': 'Utilities', 'amount': 821}, {'category': 'Dining', 'amount': 314}]",,James Torres,james.torres4@yahoo.com,951-51-4647,10.222.104.77,M,1989-08-01,10075,111000,58,0.39,18138,True,,,3.1,37000.0,,
app_082,"[{'category': 'Transportation', 'amount': 108}, {'category': 'Utilities', 'amount': 819}]",,Pamela Harris,pamela.harris94@yahoo.com,980-68-5455,192.168.26.10,Female,1997-09-29,10096,52000,62,0.22,13436,True,,,3.2,27000.0,,
app_084,"[{'category': 'Shopping', 'amount': 217}]",,Pamela Scott,pamela.scott14@icloud.com,478-77-8200,10.162.27.170,Female,1986-03-24,90279,160000,54,0.4,78286,True,,,4.0,50000.0,,
app_053,"[{'category': 'Insurance', 'amount': 538}]",,Richard Sanchez,richard.sanchez9@hotmail.com,309-94-6280,192.168.186.248,Male,1986/11/29,10041,101000,48,0.17,52330,True,,,5.8,74000.0,,
app_054,"[{'category': 'Utilities', 'amount': 566}]",,Jack Martin,jack.martin17@protonmail.com,944-51-9855,192.168.146.66,Male,1995-12-10,10043,86000,16,0.26,28260,True,,,6.3,61000.0,,
app_055,"[{'category': 'Groceries', 'amount': 254}, {'category': 'Utilities', 'amount': 851}, {'category': 'Travel', 'amount': 188}]",,Scott Lopez,scott.lopez69@gmail.com,495-48-2129,172.28.222.9,Male,1978-11-11,10009,104000,51,0.16,52179,True,,,4.3,51000.0,,
app_423,"[{'category': 'Travel', 'amount': 437}, {'category': 'Insurance', 'amount': 331}]",,Charles Hill,charles.hill58@outlook.com,697-56-2746,192.168.76.175,M,1992-08-16,10026,103000,66,0.28,40301,True,,,3.6,41000.0,,
app_425,"[{'category': 'Dining', 'amount': 148}]",,Gary Carter,gary.carter31@aol.com,102-67-7969,172.16.43.205,M,1986-04-15,10095,144000,37,0.31,48632,True,,,5.7,59000.0,,
app_426,"[{'category': 'Transportation', 'amount': 369}]",,Dorothy Perez,dorothy.perez96@outlook.com,402-41-6717,10.3.22.225,Female,11/03/1970,90255,78000,105,0.09,49213,True,,,2.8,20000.0,,
app_427,"[{'category': 'Insurance', 'amount': 890}]",,Joseph Wilson,joseph.wilson4@mail.com,508-58-9304,10.236.75.112,Male,1983-12-10,90299,117000,80,0.27,39525,True,,,5.6,34000.0,,
app_428,"[{'category': 'Transportation', 'amount': 68}]",,Jerry Wilson,jerry.wilson60@icloud.com,112-19-6168,192.168.155.6,M,1963-08-02,10053,103000,78,0.19,29305,True,,,4.0,74000.0,,
app_433,"[{'category': 'Entertainment', 'amount': 530}]",,Karen Johnson,karen.johnson38@gmail.com,112-79-4713,10.114.154.164,F,15/09/1991,10010,67000,28,0.14,26113,True,,,4.4,78000.0,,
app_435,"[{'category': 'Shopping', 'amount': 663}]",,Joseph Robinson,joseph.robinson60@yahoo.com,681-82-8445,10.152.220.19,Male,1985-04-25,10077,89000,51,0.22,11727,True,,,5.6,51000.0,,
app_436,"[{'category': 'Insurance', 'amount': 339}]",,Amanda Torres,amanda.torres59@gmail.com,135-51-1195,172.18.137.22,F,1998-06-02,90217,,35,0.13,10311,True,,,3.9,63000.0,45000.0,
app_089,"[{'category': 'Education', 'amount': 511}, {'category': 'Insurance', 'amount': 689}]",,Janet Wright,janet.wright48@gmail.com,988-25-1177,10.12.86.45,F,02/10/1979,90251,93000,98,0.22,23117,True,,,5.5,53000.0,,
app_090,"[{'category': 'Travel', 'amount': 728}, {'category': 'Shopping', 'amount': 776}, {'category': 'Dining', 'amount': 106}]",,Amanda Perez,amanda.perez24@icloud.com,757-82-3322,192.168.29.216,F,1991-05-25,90297,46000,41,0.05,25176,True,,,4.4,67000.0,,
app_091,"[{'category': 'Healthcare', 'amount': 542}]",,Gregory Martin,gregory.martin98@protonmail.com,647-30-3311,10.64.161.126,Male,04/11/1988,90218,95000,36,0.12,33444,True,,,4.9,45000.0,,
app_092,"[{'category': 'Fitness', 'amount': 330}]",,Linda Jones,linda.jones69@hotmail.com,671-44-4118,10.218.56.39,Female,1997-09-29,90222,22000,31,0.4,14473,True,,,5.5,29000.0,,
app_093,"[{'category': 'Education', 'amount': 857}, {'category': 'Fitness', 'amount': 338}]",,Margaret Allen,margaret.allen89@yahoo.com,343-37-9988,172.20.198.144,F,1983-01-01,90230,137000,36,0.08,16139,True,,,6.1,59000.0,,
app_094,"[{'category': 'Healthcare', 'amount': 891}, {'category': 'Entertainment', 'amount': 332}, {'category': 'Groceries', 'amount': 671}]",,Kenneth Scott,kenneth.scott82@outlook.com,693-48-2032,10.175.210.27,M,1986-11-03,10092,111000,44,0.43,47525,True,,,4.3,28000.0,,
app_095,"[{'category': 'Rent', 'amount': 804}]",,Jack Sanchez,jack.sanchez68@aol.com,130-62-7748,192.168.112.200,M,1986-05-12,10049,116000,58,0.39,53274,True,,,5.0,51000.0,,
